0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:34:39 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:34:40 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:35:13 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6808
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:35:26 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6808
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:35:57 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6804
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:36:29 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:36:56 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6804
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:37:05 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:37:32 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6813
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:42:09 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6854
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:42:19 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6853
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:43:40 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6899
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:44:17 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6899
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:44:28 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6899
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:44:35 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6899
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:46:34 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6931
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:51:46 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 6955
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:53:20 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7000
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:54:45 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7139
